Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
159,2361.277777777778,16,38,0,54
160,2823.5,19,36,0,55
161,2091.8,14,31,0,45
162,3622.9473684210525,33,29,0,62
163,2024.35,11,32,0,43
164,2727.9411764705883,23,37,3,60
165,3888.6,20,38,0,58
166,2642.0588235294117,19,29,0,48
167,4523.578947368421,37,32,8,69
168,3728.3,29,36,0,65
169,2393.3125,29,29,0,58
170,3533.8,21,34,0,55
171,2304.823529411765,16,31,0,47
172,3028.0,17,43,0,60
173,2516.8947368421054,26,24,0,50
174,3597.35,31,33,0,64
175,4191.85,35,42,0,77
176,3693.1052631578946,22,50,0,72
177,3125.9,32,27,0,59
178,2286.222222222222,13,38,0,51
179,3669.6315789473683,32,44,0,76
180,2647.470588235294,33,30,0,63
181,2336.315789473684,13,35,0,48
182,2953.722222222222,25,43,0,68
183,3272.0,24,38,0,62
184,2588.823529411765,20,40,0,60
185,2486.7368421052633,16,31,0,47
186,2109.764705882353,22,32,0,54
187,2440.294117647059,17,47,0,64
188,2735.1111111111113,27,38,0,65
189,2514.5555555555557,18,30,0,48
190,2549.3684210526317,25,23,0,48
191,3191.0,30,29,0,59
192,3015.684210526316,16,38,0,54
193,1429.0,7,40,0,47
194,2632.35,19,31,0,50
195,2883.3333333333335,27,34,0,61
196,2863.2,23,30,0,53
197,3017.294117647059,23,41,0,64
198,2371.8333333333335,22,40,0,62
199,3145.9473684210525,23,42,0,65
200,2549.4736842105262,21,33,0,54
201,3935.45,30,32,0,62
202,2684.8333333333335,27,37,0,64
203,2800.3333333333335,24,36,0,60
204,2749.0526315789475,19,31,0,50
205,2034.0588235294117,19,47,0,66
206,2478.5882352941176,19,42,0,61
207,3240.2631578947367,31,36,0,67
208,2935.4210526315787,25,31,0,56
209,1978.842105263158,10,34,0,44
210,2458.3684210526317,16,30,0,46
211,2206.8823529411766,20,33,0,53
212,3959.35,26,41,0,67
213,3374.7894736842104,36,38,0,74
214,1429.0,2,33,0,35
215,3163.5263157894738,23,34,0,57
216,1640.6666666666667,9,36,0,45
217,3302.1052631578946,35,35,0,70
218,2395.6666666666665,20,36,0,56
219,2664.5,19,34,0,53
220,1607.625,7,37,0,44
221,3081.684210526316,31,30,0,61
222,3421.15,30,33,0,63
223,2757.5,31,39,0,70
224,2318.0,9,37,0,46
225,2101.470588235294,15,35,0,50
226,1933.5,12,32,0,44
227,1929.0555555555557,14,36,0,50
228,2144.2631578947367,11,34,0,45
229,2312.3529411764707,19,35,0,54
230,3823.5,30,35,0,65
231,3924.3684210526317,31,34,0,65
232,1711.0588235294117,7,42,0,49
233,2220.823529411765,19,42,0,61
234,4635.35,32,36,0,68
235,2563.5789473684213,19,29,0,48
236,2959.4,22,35,0,57
237,4992.6,23,54,0,77
238,3196.5,16,37,0,53
239,1576.5882352941176,12,33,2,45
240,2551.842105263158,18,33,0,51
241,2736.15,16,36,0,52
242,3144.2105263157896,28,32,0,60
243,2774.8947368421054,22,35,0,57
244,3180.2631578947367,26,34,0,60
245,1898.5263157894738,10,35,0,45
246,2840.2105263157896,22,37,0,59
247,1933.388888888889,15,30,0,45
248,2893.6315789473683,24,39,0,63
249,2583.875,23,27,0,50
250,2548.2,15,34,0,49
251,3343.0526315789475,30,35,0,65
252,1936.888888888889,10,37,0,47
253,2552.15,16,36,0,52
254,2064.0,13,26,0,39
255,3935.4210526315787,26,54,0,80
256,3144.277777777778,21,46,0,67
257,3428.3,16,33,0,49
258,3925.6111111111113,33,34,0,67
259,3007.6111111111113,27,39,1,66
260,1429.0,5,33,0,38
261,2468.722222222222,20,32,0,52
262,2552.6666666666665,18,31,0,49
263,2728.0555555555557,25,39,3,64
264,1925.5555555555557,16,30,1,46
265,2644.6315789473683,24,34,0,58
266,2572.0,22,30,0,52
267,2528.8333333333335,24,32,8,56
268,2492.529411764706,21,34,0,55
269,4223.6,35,38,0,73
270,2084.529411764706,15,45,0,60
271,2118.1176470588234,12,51,0,63
272,1936.0,14,42,0,56
273,3112.55,24,27,0,51
274,3044.1,21,34,0,55
