Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
1,-46.70425000000016,1429.0,6,4,30,10
2,-22.710499999998163,2908.777777777778,28,9,33,37
3,-47.21574999999858,1640.0588235294117,13,13,27,26
4,-29.172749999998825,1733.625,17,5,37,22
5,-45.71874999999999,2779.157894736842,22,13,29,35
6,-45.56024999999906,1429.0,17,12,33,29
7,-38.58399999999939,3175.0526315789475,21,12,27,33
8,-49.60424999999849,4368.75,25,10,40,35
9,-59.08199999999814,2662.722222222222,20,12,36,32
10,-33.82349999999996,2020.8333333333333,15,8,36,23
11,-31.14999999999913,3147.5263157894738,17,7,32,24
12,-27.947749999999143,3223.6,22,10,22,32
13,-19.60674999999862,3267.842105263158,29,11,23,40
14,-16.230499999998887,1887.5294117647059,22,6,31,28
15,-28.662500000000552,1429.0,11,11,37,22
16,-37.009999999999906,1822.3333333333333,5,3,42,8
17,-21.821249999998795,3735.5,19,11,26,30
18,-47.44975000000019,2332.0555555555557,19,12,37,31
19,-27.050999999999597,2445.823529411765,25,11,30,36
20,-44.227499999999175,1496.5,8,12,26,20
21,-36.8574999999994,2823.3684210526317,14,4,32,18
22,-15.375750000000133,2508.5,27,15,29,42
23,-29.630749999998795,2661.3684210526317,15,8,30,23
24,-43.32299999999945,2723.6111111111113,19,14,31,33
25,-38.44749999999978,2758.9444444444443,19,12,32,31
26,-41.05949999999963,4142.6,16,12,31,28
27,-35.92300000000033,1706.7777777777778,18,5,33,23
28,-30.502999999997133,4758.5,27,6,45,33
29,-29.366499999999284,2153.375,20,9,31,29
30,-43.65774999999877,2443.2631578947367,14,7,28,21
31,-17.871749999999334,1724.6875,12,8,33,20
32,-17.854999999998547,4471.95,23,6,36,29
33,-24.39024999999942,2235.0555555555557,20,6,38,26
34,-40.98724999999928,2799.1052631578946,13,10,27,23
35,-26.672249999999373,1630.4375,21,3,39,24
36,-4.499250000000012,2534.5882352941176,43,13,33,56
37,-42.221249999999216,2827.5263157894738,18,12,24,30
38,-26.78599999999929,2937.0,18,13,25,31
39,-34.3624999999993,3426.75,16,8,32,24
40,-33.819500000000204,2206.777777777778,12,4,48,16
41,-43.931249999998755,2316.2105263157896,11,8,31,19
42,-19.59249999999865,3314.05,24,12,26,36
43,-26.068499999999823,4033.9473684210525,37,15,31,52
44,-24.782499999998794,4017.9,27,16,24,43
45,-30.11724999999928,2640.4210526315787,14,4,37,18
46,-52.364249999999615,1682.1176470588234,2,4,39,6
47,-44.19324999999988,1893.375,23,12,27,35
48,-28.426249999999506,3169.315789473684,29,8,39,37
49,-24.014749999999484,4527.45,23,8,31,31
50,-23.678999999999633,1791.4117647058824,8,8,27,16
51,-15.324749999998403,2724.842105263158,28,5,25,33
52,-29.96199999999869,2790.842105263158,19,3,30,22
53,-51.38600000000058,1545.125,16,8,38,24
54,-31.909499999998797,2565.315789473684,14,4,39,18
55,-40.387499999999605,2057.2631578947367,10,11,30,21
56,-39.37899999999903,2457.3888888888887,18,2,56,20
57,-23.67074999999955,2125.4375,24,12,32,36
58,-49.60175000000027,2580.3529411764707,25,19,36,44
59,-39.504249999998954,2000.625,22,13,44,35
60,-30.326749999998675,4327.9473684210525,34,16,32,50
61,-18.84624999999806,2051.9411764705883,33,4,27,37
62,-22.726999999999855,2084.529411764706,26,14,30,40
63,-51.35474999999965,3743.35,12,6,34,18
64,-16.449499999998917,4148.95,25,8,32,33
65,-46.24949999999872,2560.5,15,8,35,23
66,-15.408999999998619,5087.8,36,11,34,47
67,-51.60274999999977,1628.3333333333333,1,3,32,4
68,-26.923999999999342,2350.6875,25,7,36,32
69,-40.10000000000012,2309.1111111111113,18,15,26,33
70,-13.122249999998738,2394.375,30,6,25,36
71,-8.014499999997978,2497.235294117647,32,8,34,40
72,-40.83449999999962,1853.8235294117646,13,1,39,14
73,-36.231499999998974,2948.684210526316,14,6,32,20
74,-35.65649999999893,3748.95,20,10,26,30
75,-35.187999999999434,3140.0526315789475,13,10,26,23
76,-35.77375000000004,1541.125,20,11,35,31
77,-36.36399999999977,1744.6470588235295,9,12,28,21
78,-34.83249999999964,3137.0,14,7,25,21
79,-46.705499999999915,1429.0,0,4,31,4
80,-23.30699999999784,3280.3684210526317,20,7,38,27
81,-38.19350000000008,2036.7222222222222,26,9,36,35
82,-48.04900000000028,1748.3529411764705,12,11,23,23
83,-53.58774999999993,1438.5333333333333,23,13,34,36
84,-65.41650000000027,1949.2777777777778,3,9,53,12
85,-18.828499999999146,2887.05,17,8,27,25
86,-39.180000000000106,1621.5,15,9,30,24
87,-40.53274999999882,1617.5625,18,11,24,29
88,-17.33624999999906,2534.5882352941176,28,13,25,41
89,-40.431749999999084,2337.3888888888887,11,2,41,13
90,-38.74124999999849,3586.9473684210525,26,5,35,31
91,-34.257749999999234,2449.8947368421054,18,2,24,20
92,-26.640749999999578,3523.4736842105262,19,8,30,27
93,-32.107999999999414,4155.105263157895,26,15,18,41
94,-41.25749999999991,2501.0,33,9,33,42
95,-33.7067499999981,4054.1052631578946,33,4,27,37
96,-60.00799999999914,3859.25,10,7,38,17
97,-33.692499999999114,2906.1052631578946,16,8,29,24
98,-40.41899999999878,1559.0,16,3,34,19
99,-29.29599999999963,2072.0555555555557,10,3,38,13
100,-17.57474999999933,2550.0625,37,10,29,47
101,-32.934999999999704,1585.75,15,14,20,29
102,-19.45775000000092,3048.1111111111113,33,16,38,49
103,-26.840750000000007,1820.2941176470588,12,12,33,24
104,-36.16150000000012,1926.7058823529412,23,15,21,38
105,-21.991749999996674,2818.9444444444443,35,8,29,43
106,-44.61649999999966,2522.75,8,6,25,14
107,-33.49224999999932,3588.5,15,17,19,32
108,-35.954499999999726,1973.111111111111,16,10,30,26
109,-33.39774999999911,2504.8888888888887,14,3,37,17
110,-35.56874999999941,3165.9473684210525,11,11,43,22
111,-20.55349999999907,2589.6470588235293,24,14,30,38
112,-28.455999999998717,2995.1666666666665,32,15,34,47
113,-18.486249999999,2326.9375,37,13,33,50
114,-50.93274999999914,3766.5263157894738,19,10,28,29
115,-59.80825000000014,1798.5555555555557,17,16,27,33
116,-43.17125000000072,2219.0,29,25,30,54
117,-34.96474999999947,3411.65,15,11,32,26
118,-46.723499999999994,2568.4444444444443,10,12,26,22
119,-25.897499999999816,1532.25,14,6,36,20
120,-28.403249999998714,3748.9,20,16,27,36
121,-36.24200000000063,2269.4117647058824,23,15,32,38
122,-26.253249999997813,2945.8888888888887,25,7,39,32
123,-11.444249999998652,2153.375,28,10,32,38
124,-34.025749999999086,3343.1052631578946,17,11,30,28
125,-23.973749999999693,2485.842105263158,15,9,25,24
126,-21.067999999998733,2416.9411764705883,39,13,33,52
127,-33.77924999999921,2811.684210526316,12,13,29,25
128,-35.451249999999334,2639.8888888888887,19,7,33,26
129,-28.16699999999774,3565.315789473684,32,10,27,42
130,-18.86800000000057,2111.6111111111113,29,10,39,39
131,-38.87199999999909,3478.3684210526317,23,8,26,31
132,-13.458499999999571,2416.8823529411766,31,9,28,40
133,-27.77249999999882,2072.3529411764707,36,7,34,43
134,-39.569749999999935,3613.684210526316,21,9,43,30
135,-37.74649999999956,2712.315789473684,20,10,22,30
136,-31.63699999999891,1724.6875,18,5,31,23
137,-26.72774999999907,2043.5294117647059,19,10,27,29
138,-43.68499999999947,1590.8125,4,12,26,16
139,-21.62675000000036,2311.3529411764707,36,9,40,45
140,-36.23774999999926,1429.0,6,8,33,14
141,-28.608749999999606,1528.25,8,5,28,13
142,-18.895999999999425,3750.9444444444443,28,6,25,34
143,-31.16749999999893,4516.3,19,13,31,32
144,-25.54899999999966,2756.222222222222,23,7,33,30
145,-48.80324999999998,2148.0,14,7,42,21
146,-33.175999999999114,4069.842105263158,23,12,38,35
147,-33.36375000000025,1744.6470588235295,19,14,37,33
148,-39.429249999997936,3301.3,23,5,33,28
149,-31.25149999999966,3795.842105263158,24,12,37,36
150,-32.02149999999907,1694.235294117647,15,10,30,25
151,-13.678499999999385,1805.0625,15,12,22,27
152,-16.95349999999861,3472.277777777778,35,1,25,36
153,-22.137249999997742,3204.222222222222,31,13,31,44
154,-14.199000000000007,2841.8333333333335,31,8,31,39
155,-28.531499999998925,2240.470588235294,21,15,35,36
156,-37.36199999999947,2651.235294117647,17,9,32,26
157,-29.447249999997787,2806.5,26,4,41,30
158,-41.22449999999985,2331.222222222222,22,14,21,36
159,-42.14049999999994,1429.0,2,3,40,5
160,-27.827749999999746,2807.235294117647,33,15,32,48
161,-27.295749999999277,2831.7368421052633,25,13,30,38
162,-36.12899999999923,3327.45,18,8,24,26
163,-30.36674999999919,2467.294117647059,19,12,28,31
164,-37.84024999999863,3765.0,23,14,30,37
165,-27.249249999999158,4316.263157894737,24,10,38,34
166,-27.55049999999985,2054.1875,29,12,28,41
167,-30.91999999999789,2469.6666666666665,23,7,33,30
168,-38.62424999999975,3059.0,26,15,29,41
169,-45.34850000000035,1922.0,12,3,36,15
170,-29.51099999999853,3898.9,23,12,36,35
171,-20.138999999998514,2895.6111111111113,25,10,26,35
172,-39.28899999999851,1799.764705882353,14,11,27,25
173,-43.185499999999806,1705.8125,4,11,29,15
174,-38.118750000000276,1509.4375,21,15,29,36
175,-47.614999999998275,2761.4444444444443,24,14,29,38
176,-28.522999999998593,3436.5789473684213,22,6,32,28
177,-11.555999999999422,2646.705882352941,39,8,29,47
178,-24.4917499999983,3409.1052631578946,25,7,36,32
179,-36.36750000000041,1429.0,22,7,37,29
180,-40.8422499999997,2357.6875,30,18,27,48
181,-12.539999999998843,3861.0526315789475,34,7,20,41
182,-38.48374999999984,2561.1052631578946,18,6,29,24
183,-27.830499999999,4712.4,28,21,19,49
184,-35.71974999999943,2330.277777777778,13,14,21,27
185,-41.204249999999156,1666.1875,13,12,27,25
186,-39.57425000000037,2581.5555555555557,30,14,24,44
187,-47.36849999999973,3615.6,14,11,27,25
188,-21.866249999999575,2152.375,28,12,39,40
189,-36.189749999998405,2814.4444444444443,22,15,23,37
190,-38.658750000000126,2204.0,22,6,34,28
191,-34.56499999999952,1652.1764705882354,17,11,38,28
192,-39.180749999999776,2404.5,6,13,23,19
193,-31.94699999999956,3684.65,14,10,30,24
194,-33.745749999998935,2143.4117647058824,28,20,23,48
195,-50.28224999999951,2248.8823529411766,11,5,64,16
196,-38.357499999999824,1568.1176470588234,15,8,37,23
197,-42.55549999999964,2884.3684210526317,23,6,47,29
198,-40.40225000000016,1834.8125,21,11,32,32
199,-16.940749999999394,2993.4444444444443,28,9,31,37
200,-34.531499999999184,2629.222222222222,15,8,32,23
201,-37.744749999999506,2601.3,10,5,25,15
202,-62.25674999999988,2520.777777777778,14,11,33,25
203,-43.405249999999576,1849.235294117647,12,11,22,23
204,-18.191250000000394,2851.0,30,6,33,36
205,-20.591749999998477,3147.6666666666665,25,4,48,29
206,-19.72925000000019,2986.2631578947367,19,8,29,27
207,-27.599999999999277,3135.0,18,8,28,26
208,-38.031249999998494,1580.7222222222222,9,11,33,20
209,-25.380999999999325,3351.3684210526317,25,6,27,31
210,-23.317749999999045,4310.8,25,9,28,34
211,-51.08099999999962,3396.5263157894738,18,12,29,30
212,-32.38699999999906,2603.722222222222,12,11,33,23
213,-38.096749999999744,1589.75,15,15,33,30
214,-35.44099999999995,2601.157894736842,21,12,27,33
215,-50.4642499999996,1606.4705882352941,4,7,26,11
216,-30.361749999998402,3883.0,26,5,32,31
217,-22.71624999999905,3493.315789473684,30,13,31,43
218,-39.39799999999958,1818.0,11,7,26,18
219,-40.519999999999136,2380.470588235294,15,8,28,23
220,-40.38324999999947,2157.5789473684213,3,6,29,9
221,-27.764749999999935,3566.0526315789475,28,15,40,43
222,-33.510999999999164,2505.0526315789475,14,3,33,17
223,-35.34499999999808,3139.777777777778,29,3,39,32
224,-26.724249999999095,1617.5625,13,3,35,16
225,-15.45824999999875,4027.2105263157896,29,11,38,40
226,-45.37125000000013,1429.0,6,6,29,12
227,-41.302249999999376,1614.8823529411766,7,7,29,14
228,-19.842249999997605,3069.0,29,14,26,43
229,-30.080999999999584,2059.0625,22,3,39,25
230,-38.01924999999922,3663.25,22,6,20,28
231,-26.551000000000506,2117.722222222222,37,5,41,42
232,-37.52174999999896,3487.1,15,10,27,25
233,-43.499749999999054,2408.529411764706,17,9,29,26
234,-36.05874999999946,2216.8947368421054,10,9,27,19
235,-28.33324999999877,3163.2,20,11,27,31
236,-25.105249999999238,3363.9473684210525,25,11,26,36
237,-34.40249999999931,1740.9411764705883,10,3,31,13
238,-23.010499999999077,3185.157894736842,23,5,41,28
239,-32.8374999999994,2616.0,29,6,33,35
240,-29.357749999999537,2409.6111111111113,19,18,35,37
241,-30.44674999999912,1608.625,8,13,29,21
242,-42.55700000000026,1505.4375,7,5,38,12
243,-39.11874999999888,2047.235294117647,20,8,35,28
244,-52.255999999999496,2489.0,13,6,31,19
245,-52.764000000000195,1703.2777777777778,7,15,31,22
246,-38.84774999999924,1671.125,10,5,30,15
247,-30.15849999999877,2719.222222222222,22,15,25,37
248,-40.90224999999988,1664.2941176470588,7,5,38,12
249,-14.086999999996905,2081.8125,37,15,29,52
250,-45.386249999999464,2193.5555555555557,10,11,29,21
251,-37.26399999999855,2529.8823529411766,28,14,29,42
252,-42.63724999999895,2616.0,18,4,46,22
253,-30.862499999999642,3094.2,17,17,23,34
254,-28.256249999999504,2304.8823529411766,31,7,30,38
255,-32.690249999999054,2711.277777777778,19,9,34,28
256,-31.64774999999845,1715.8125,19,11,27,30
257,-37.432999999998785,1594.75,11,9,28,20
258,-46.04575000000089,1681.1764705882354,18,15,25,33
259,-40.94724999999939,2579.05,9,7,31,16
260,-26.286749999999017,2785.0,16,8,32,24
261,-42.15999999999901,3602.842105263158,35,10,24,45
