Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
1,-24.431249999999025,2550.777777777778,22,25,6,47
2,-32.248999999999754,2381.3333333333335,18,29,3,47
3,-46.535249999999465,2572.8888888888887,26,36,7,62
4,-27.567000000000444,2481.1111111111113,25,24,9,49
5,-41.41124999999946,2015.4444444444443,9,26,9,35
6,-34.09424999999943,3281.2631578947367,25,27,9,52
7,-27.014999999998317,3115.222222222222,27,29,8,56
8,-27.636999999999187,2759.2105263157896,22,29,10,51
9,-41.36674999999867,3160.8,18,33,5,51
10,-19.34874999999734,3199.8333333333335,33,28,11,61
11,-42.573749999999634,1707.7222222222222,5,26,6,31
12,-38.15049999999943,3164.6111111111113,16,29,4,45
13,-34.20974999999932,3328.0,35,29,6,64
14,-41.02224999999976,2243.1666666666665,14,25,7,39
15,-37.90549999999893,2409.0,20,17,6,37
16,-43.98849999999952,3121.684210526316,20,26,8,46
17,-37.4199999999998,1800.842105263158,5,25,10,30
18,-36.5732499999993,2470.7368421052633,14,21,9,35
19,-36.07449999999979,2766.5789473684213,16,32,5,48
20,-27.228249999999655,2084.277777777778,13,28,5,41
21,-37.33574999999859,3118.157894736842,19,37,7,56
22,-44.7457499999994,1827.8125,11,20,11,31
23,-32.03149999999872,2585.9375,28,32,7,60
24,-32.65799999999799,3294.25,28,18,13,46
25,-37.03249999999899,2959.5789473684213,20,28,5,48
26,-33.872249999999084,2795.842105263158,15,34,5,49
27,-44.6222499999991,2323.9375,23,25,6,48
28,-32.4114999999997,2614.8,13,26,4,39
29,-32.34749999999898,4308.5,24,26,10,50
30,-36.2737499999997,2554.3888888888887,15,30,12,45
31,-34.674749999999456,2723.1052631578946,21,31,2,52
32,-35.07474999999967,1701.875,11,33,5,44
33,-25.528749999999825,2394.470588235294,20,25,4,45
34,-47.04800000000023,1429.0,2,21,7,23
35,-35.01649999999771,2224.6875,30,25,12,55
36,-37.747999999999784,2804.777777777778,21,34,4,55
37,-39.93724999999873,1912.7058823529412,22,28,18,50
38,-47.88799999999935,3439.4,18,26,8,44
39,-34.26574999999923,2916.315789473684,23,30,9,53
40,-36.587249999999024,2682.25,14,26,8,40
41,-37.70025000000011,1973.7894736842106,9,24,5,33
42,-43.126499999999275,2708.1052631578946,11,26,7,37
43,-25.52199999999963,2013.6470588235295,20,26,3,46
44,-25.714749999999082,4318.7,25,43,5,68
45,-39.12449999999915,2391.764705882353,21,27,9,48
46,-43.04299999999948,3117.4210526315787,17,27,10,44
47,-47.47924999999964,2825.8888888888887,20,30,6,50
48,-30.006499999998027,4358.4,35,33,7,68
49,-30.180000000000405,1870.7058823529412,31,23,15,54
50,-38.80249999999925,2754.45,13,27,8,40
51,-25.480249999999035,2712.9444444444443,22,27,5,49
52,-24.209499999999416,3189.2631578947367,28,30,7,58
53,-25.23324999999945,3210.315789473684,19,27,7,46
54,-42.594749999999785,2290.4210526315787,8,21,9,29
55,-37.74999999999919,3666.4210526315787,17,29,10,46
56,-31.771499999999612,2122.85,14,23,4,37
57,-24.530999999999285,2433.764705882353,31,20,11,51
58,-33.425499999999644,2016.45,8,26,4,34
59,-45.79649999999964,2176.75,8,24,8,32
60,-43.384749999999514,2463.315789473684,8,24,13,32
61,-38.0959999999991,2279.1666666666665,18,22,8,40
62,-33.540499999999646,2640.4736842105262,14,28,6,42
63,-24.86049999999956,2663.722222222222,25,24,10,49
64,-32.66824999999947,2156.4117647058824,20,27,7,47
65,-47.55824999999955,2343.0,12,24,8,36
66,-56.40850000000012,2395.4117647058824,15,25,12,40
67,-31.58774999999966,2956.85,17,27,8,44
68,-37.33624999999908,2571.9444444444443,16,31,9,47
69,-25.82800000000005,2537.6315789473683,21,30,9,51
70,-32.42299999999953,2473.1666666666665,17,26,9,43
71,-43.36999999999874,2467.4117647058824,22,36,5,58
72,-34.01424999999951,2706.294117647059,23,28,10,51
73,-40.64799999999896,3636.25,20,27,8,47
74,-36.77774999999987,2854.315789473684,32,30,12,62
75,-29.207499999999662,2673.0526315789475,16,23,8,39
76,-33.42924999999987,2255.3529411764707,16,22,6,38
77,-29.747000000000167,1870.764705882353,20,27,5,47
78,-38.37249999999937,2041.0555555555557,10,31,2,41
79,-49.60649999999997,1429.0,8,23,10,31
80,-30.423249999999427,3218.7,18,22,8,40
81,-32.92500000000008,2092.222222222222,25,28,11,53
82,-29.304499999999184,2366.6470588235293,23,24,7,47
83,-42.864749999999525,2568.5789473684213,14,24,8,38
84,-38.14274999999997,2262.7368421052633,15,27,7,42
85,-49.99599999999961,3052.85,19,22,7,41
86,-29.2194999999998,2855.1052631578946,14,24,6,38
87,-29.375499999999636,3162.684210526316,20,26,12,46
88,-24.88849999999885,3044.7894736842104,20,26,10,46
89,-50.70324999999947,2709.7894736842104,15,30,4,45
90,-28.48674999999968,2583.5789473684213,16,25,7,41
91,-22.58150000000023,1996.8235294117646,30,28,10,58
92,-40.293499999999156,2941.2631578947367,18,23,11,41
93,-35.3117499999987,2255.3888888888887,14,30,7,44
94,-33.52099999999935,2675.1111111111113,26,16,6,42
95,-38.01474999999845,2906.842105263158,22,32,5,54
96,-39.13274999999988,1429.0,0,25,9,25
97,-39.82874999999904,2956.1,21,29,4,50
98,-41.103749999999124,2467.4117647058824,25,27,13,52
99,-23.706499999998915,3773.0555555555557,29,32,6,61
100,-41.85149999999965,2552.842105263158,17,30,3,47
101,-34.24524999999866,3313.842105263158,27,27,6,54
102,-37.47549999999942,2479.277777777778,19,24,11,43
103,-32.38574999999973,2156.684210526316,14,24,8,38
104,-36.526499999999785,2151.7894736842104,16,23,8,39
105,-40.54724999999972,3292.8947368421054,22,31,6,53
106,-25.117499999999364,2501.3888888888887,19,19,8,38
107,-33.62649999999967,1972.8947368421052,10,26,7,36
108,-36.64699999999955,2087.0,10,24,6,34
109,-31.86149999999946,2341.470588235294,16,20,8,36
110,-30.509999999999298,3199.315789473684,20,30,5,50
111,-42.66599999999828,3829.2631578947367,26,26,10,52
112,-41.504499999999574,1948.6842105263158,9,25,6,34
113,-40.28649999999961,2464.3333333333335,15,25,3,40
114,-30.290499999999515,3350.5263157894738,24,22,8,46
115,-35.330249999999225,2904.4,25,22,4,47
116,-38.82024999999929,2376.222222222222,19,22,8,41
117,-39.79699999999932,2480.7,13,21,9,34
118,-47.81924999999896,2892.1111111111113,21,37,10,58
119,-19.869749999999513,2989.1111111111113,23,27,2,50
120,-27.693499999999307,2950.45,20,26,7,46
121,-55.060249999998994,3149.315789473684,16,30,4,46
122,-37.28649999999938,2016.45,8,23,9,31
123,-46.15149999999956,2402.3684210526317,12,27,6,39
124,-29.516249999999452,2752.722222222222,22,29,6,51
125,-26.098249999999855,2592.222222222222,27,25,9,52
126,-32.63524999999958,2542.3125,23,30,2,53
127,-41.02174999999934,2308.7894736842104,13,24,6,37
128,-33.05174999999974,2306.6111111111113,15,29,10,44
129,-30.510499999999222,2584.6,16,22,4,38
130,-27.662249999999528,2109.9473684210525,16,29,5,45
131,-33.82474999999947,3176.1052631578946,29,27,5,56
132,-47.96499999999905,2823.315789473684,13,33,5,46
133,-37.47475000000004,2708.1052631578946,11,28,8,39
134,-20.745499999999204,3232.176470588235,40,30,3,70
135,-37.42249999999966,2744.8947368421054,16,24,7,40
136,-45.34874999999866,2417.4210526315787,17,23,10,40
137,-35.88049999999924,3027.2631578947367,18,27,9,45
138,-45.976999999999315,2982.1052631578946,18,25,10,43
139,-31.788749999999105,2512.55,19,16,11,35
140,-31.588999999999466,3198.5789473684213,24,30,3,54
141,-42.285500000000084,1429.0,3,29,8,32
142,-29.118749999998823,1862.5625,23,26,12,49
143,-49.577500000000185,1482.5625,8,30,6,38
144,-30.087999999999454,3698.8333333333335,37,44,7,81
145,-34.53174999999998,3085.7894736842104,17,22,7,39
146,-28.192999999999206,2981.0555555555557,20,30,5,50
147,-28.200999999999322,2703.529411764706,22,27,7,49
148,-39.927499999999895,2508.5,18,31,7,49
149,-44.265249999999924,2063.9444444444443,14,25,4,39
150,-29.137749999998835,2942.1052631578946,25,24,8,49
151,-35.932249999999314,2362.315789473684,11,28,3,39
152,-35.43899999999951,2240.529411764706,17,26,7,43
153,-29.865500000000264,2275.315789473684,25,26,10,51
154,-37.180249999999106,5566.5,24,31,13,55
155,-45.555999999998704,3558.5,18,31,4,49
156,-27.00174999999957,2609.294117647059,28,26,7,54
157,-41.7299999999994,2821.684210526316,15,26,7,41
158,-27.238249999998846,2932.0,17,29,8,46
159,-38.725249999998795,2843.5,26,22,9,48
160,-46.15149999999964,2315.4736842105262,12,28,6,40
161,-38.61749999999959,2192.5789473684213,16,25,7,41
162,-30.190499999999144,3271.2,25,26,5,51
163,-37.0179999999993,2417.4210526315787,15,25,6,40
164,-33.08824999999948,2546.705882352941,17,30,11,47
165,-38.16800000000049,2020.375,26,28,11,54
166,-32.68774999999915,2026.6470588235295,17,21,7,38
167,-42.8402499999993,2087.0,8,23,8,31
168,-23.988749999999513,2788.529411764706,31,23,10,54
169,-32.42949999999904,2996.9444444444443,28,31,10,59
170,-32.953249999998924,2487.625,27,27,5,54
171,-37.45224999999984,2033.111111111111,9,22,15,31
172,-32.46124999999974,2492.5555555555557,23,30,8,53
173,-42.903249999999154,1800.0625,11,30,2,41
174,-35.81174999999972,1911.125,16,25,6,41
175,-20.172499999999662,2829.6470588235293,31,27,2,58
176,-40.58374999999959,2121.2,9,27,4,36
177,-42.51774999999951,2195.3888888888887,17,23,6,40
178,-13.287499999998559,4100.277777777777,38,31,3,69
179,-42.677999999999074,2606.529411764706,21,34,6,55
180,-45.996499999998996,2346.4210526315787,12,29,9,41
181,-34.42299999999988,2949.5263157894738,20,22,10,42
182,-33.2509999999997,2060.1,11,23,5,34
183,-47.71199999999952,2744.0526315789475,23,38,3,61
184,-35.581500000000155,3524.2631578947367,26,43,5,69
185,-46.131999999999636,2060.5555555555557,8,22,6,30
186,-40.265249999999966,2035.9411764705883,29,26,15,55
187,-28.87649999999948,2494.2105263157896,13,32,6,45
188,-41.32024999999891,3170.722222222222,30,36,3,66
189,-44.02724999999992,3203.8,15,27,6,42
190,-35.00350000000033,2634.5263157894738,13,34,7,47
191,-39.440749999998495,2949.4444444444443,22,33,9,55
192,-36.675000000000175,1975.3529411764705,11,34,7,45
193,-28.797749999999503,3109.5882352941176,36,27,7,63
194,-31.89049999999972,2297.6111111111113,16,30,9,46
195,-37.51200000000016,2235.2631578947367,9,27,6,36
196,-48.30074999999942,2208.5263157894738,11,20,5,31
197,-39.637500000000195,1429.0,9,22,14,31
198,-40.41574999999985,3426.5789473684213,13,38,6,51
199,-34.81400000000041,2189.0588235294117,15,29,8,44
200,-33.079000000000455,2311.4117647058824,23,33,12,56
201,-43.938499999999756,2253.5,10,26,6,36
202,-36.12449999999971,2847.684210526316,28,27,5,55
203,-25.35774999999923,2572.7894736842104,16,29,7,45
204,-42.50724999999951,2420.6470588235293,18,28,4,46
205,-27.293999999998675,3580.7,25,34,5,59
206,-28.346499999999402,2752.4210526315787,25,17,11,42
207,-33.55524999999957,2568.8,10,32,3,42
208,-23.333499999999727,3243.0,34,34,12,68
209,-30.269749999998957,3650.55,23,33,10,56
210,-32.47024999999947,2035.0588235294117,11,21,10,32
211,-42.286999999999715,2741.3333333333335,20,30,6,50
212,-26.552249999999567,2245.0,10,26,8,36
213,-29.780249999998897,2108.9444444444443,20,28,5,48
214,-38.50899999999905,2507.5555555555557,15,29,7,44
215,-45.08650000000004,1776.5,5,25,10,30
216,-20.203249999999613,3124.0526315789475,29,28,7,57
217,-38.62724999999941,1845.5294117647059,20,32,10,52
218,-42.39999999999948,2187.5,16,23,5,39
219,-41.009749999999585,2262.8823529411766,16,23,15,39
220,-31.75674999999928,2751.5263157894738,15,34,4,49
221,-35.06224999999994,3060.5,26,31,8,57
222,-44.530499999999776,2514.5,31,26,4,57
223,-31.482749999999292,2808.5,15,26,8,41
224,-33.374999999998884,2691.4210526315787,16,28,8,44
225,-39.19924999999979,2262.7894736842104,13,28,9,41
226,-43.40649999999983,2398.235294117647,14,22,7,36
227,-39.13799999999873,3171.1,20,27,3,47
228,-32.073499999999484,2488.1666666666665,24,24,7,48
229,-40.94774999999952,2405.684210526316,14,28,8,42
230,-50.380499999999735,2160.0555555555557,13,29,9,42
231,-24.94124999999871,2573.823529411765,25,22,12,47
232,-12.213749999999509,2898.6315789473683,23,26,4,49
233,-38.5587499999994,2504.9444444444443,15,23,7,38
234,-30.673499999999773,2277.375,19,21,10,40
235,-36.94999999999941,2559.5263157894738,14,29,6,43
236,-37.971749999999645,2195.4444444444443,16,25,7,41
237,-35.3937499999994,2615.4210526315787,21,27,11,48
238,-38.72025000000009,2696.4210526315787,25,18,11,43
239,-38.16224999999967,2084.277777777778,18,30,8,48
240,-21.293749999999584,2164.823529411765,20,22,8,42
241,-30.652749999999422,2131.9444444444443,16,32,10,48
242,-39.42824999999925,3191.75,17,26,5,43
243,-48.522249999999545,2870.1111111111113,16,26,7,42
244,-40.735750000000095,2671.5555555555557,33,33,8,66
245,-46.14874999999952,3059.0526315789475,27,32,6,59
246,-36.73774999999916,2223.722222222222,14,24,7,38
247,-26.8114999999992,2699.842105263158,22,36,6,58
248,-33.948249999999966,2751.777777777778,21,27,6,48
249,-34.141999999999776,2970.4210526315787,32,25,5,57
250,-45.70550000000049,1960.7777777777778,16,33,12,49
251,-21.223499999999472,2940.3684210526317,29,22,9,51
252,-44.517000000000635,1429.0,18,25,14,43
253,-30.966499999999478,3258.45,22,32,3,54
254,-24.41049999999933,2602.9,18,28,3,46
255,-28.44074999999986,2591.3333333333335,15,26,6,41
256,-43.591749999999976,1491.5625,3,26,6,29
257,-34.54924999999956,4025.9,22,28,10,50
258,-35.30399999999956,2381.470588235294,17,27,5,44
259,-27.220999999998526,2602.842105263158,23,20,7,43
260,-30.933499999999743,2089.235294117647,33,20,7,53
261,-31.939999999999582,2580.470588235294,26,21,5,47
262,-42.65649999999975,2984.6,12,30,7,42
263,-26.343999999999347,3265.315789473684,24,25,12,49
264,-30.707999999998925,3990.25,23,29,11,52
265,-28.15899999999926,2815.8947368421054,18,27,9,45
266,-37.55624999999968,3801.684210526316,31,37,5,68
267,-29.890249999999376,3403.7,22,22,4,44
268,-33.15249999999919,3064.8,17,26,9,43
269,-27.397999999999495,2734.222222222222,21,25,5,46
270,-42.04549999999928,2032.25,11,27,6,38
271,-31.96199999999833,2373.176470588235,27,28,10,55
272,-28.687749999999717,2451.529411764706,22,21,9,43
273,-43.530750000000154,2017.2941176470588,17,34,12,51
274,-37.46150000000031,2162.8333333333335,25,31,11,56
275,-38.57574999999975,2209.6111111111113,14,23,10,37
276,-48.190749999999625,3417.6666666666665,14,29,7,43
277,-49.41899999999934,2598.684210526316,16,34,3,50
278,-40.661999999999686,2147.6315789473683,17,25,11,42
279,-34.5184999999996,2188.277777777778,15,29,4,44
280,-17.34200000000005,2051.823529411765,29,30,8,59
281,-32.58099999999992,2010.5263157894738,7,27,7,34
282,-24.41449999999988,2267.25,14,25,5,39
283,-37.56074999999928,2369.9444444444443,22,18,10,40
284,-40.41775000000047,2020.7777777777778,14,26,10,40
285,-34.18124999999983,2143.277777777778,15,37,4,52
286,-31.644749999998634,2630.222222222222,21,36,5,57
287,-25.912000000000187,2881.4444444444443,26,31,4,57
288,-43.27774999999973,2425.4117647058824,16,30,9,46
289,-33.97999999999942,2863.2,17,30,2,47
290,-33.15374999999925,3130.65,19,23,10,42
291,-33.516999999999406,3686.3684210526317,26,26,4,52
292,-35.617249999999935,2217.3888888888887,13,23,6,36
293,-60.86874999999948,3135.4444444444443,19,40,6,59
294,-31.54524999999946,3504.5,22,23,4,45
295,-17.526999999998925,3547.7894736842104,29,27,3,56
296,-44.04024999999989,2485.0526315789475,15,26,4,41
297,-34.733999999999455,2364.6470588235293,20,28,1,48
298,-29.90100000000003,2193.764705882353,18,26,6,44
299,-50.416000000000295,2000.4705882352941,15,33,3,48
300,-22.71224999999936,2753.9473684210525,16,30,4,46
301,-32.6074999999997,3808.5,21,33,7,54
302,-25.210499999999943,2429.8947368421054,17,31,3,48
303,-39.83574999999986,2079.85,10,20,8,30
304,-37.343249999999436,2743.0,27,29,4,56
305,-38.598500000000485,1429.0,16,28,13,44
306,-31.765249999999632,3083.0,17,23,3,40
307,-24.383499999999515,3575.05,25,31,4,56
308,-31.65374999999861,3616.3,23,32,4,55
309,-34.28124999999905,2321.5,14,31,5,45
310,-29.386999999999386,3155.3,19,28,4,47
311,-31.38149999999944,2664.75,11,30,5,41
312,-41.66374999999995,2111.6315789473683,13,25,7,38
313,-40.99199999999927,2726.5263157894738,19,31,6,50
314,-19.017999999999414,2080.823529411765,11,33,8,44
315,-51.20449999999969,1779.1666666666667,3,33,4,36
316,-31.244499999999174,2748.15,15,28,4,43
317,-39.4552499999992,2433.764705882353,18,28,6,46
318,-45.1459999999994,2358.8947368421054,14,21,8,35
319,-23.853999999999825,2857.6111111111113,24,40,7,64
320,-33.08749999999951,2008.4,12,21,8,33
321,-27.14574999999952,2438.2631578947367,16,28,5,44
322,-51.6969999999998,1925.5555555555557,7,28,5,35
323,-34.5729999999989,2875.315789473684,25,21,6,46
324,-43.07450000000016,2689.5882352941176,26,32,9,58
325,-28.169499999999363,2287.157894736842,9,31,5,40
326,-29.09524999999915,3084.0526315789475,22,27,5,49
327,-50.580999999999705,1429.0,6,21,9,27
328,-24.57824999999926,2467.6315789473683,20,21,7,41
329,-30.438749999999704,2675.1,19,24,3,43
330,-31.496499999999457,2451.684210526316,22,21,4,43
331,-35.049499999999014,4090.2,32,22,3,54
332,-34.54374999999949,2438.315789473684,17,24,5,41
333,-34.9707499999995,1653.25,12,20,7,32
334,-26.059749999999916,2429.9444444444443,24,30,6,54
335,-22.610499999999558,2236.764705882353,18,23,7,41
336,-35.4164999999992,2661.315789473684,23,29,3,52
337,-27.283749999999706,2756.823529411765,27,36,5,63
338,-38.133749999998635,2303.9411764705883,26,25,6,51
339,-51.103249999999726,2651.2631578947367,14,30,7,44
340,-22.860999999999116,3642.7,25,25,7,50
341,-35.97599999999984,2160.222222222222,11,21,7,32
342,-38.73174999999921,2864.3684210526317,19,28,4,47
343,-33.06924999999982,2089.875,24,33,7,57
344,-33.56824999999891,3166.7894736842104,16,27,6,43
345,-38.43924999999904,4035.4,28,34,3,62
346,-39.934000000000054,3466.7368421052633,28,29,7,57
347,-34.804749999999345,3385.35,19,35,4,54
348,-40.97624999999892,2183.529411764706,22,23,5,45
349,-38.820249999999014,3277.0526315789475,21,39,1,60
350,-41.70324999999981,2116.0555555555557,14,22,8,36
351,-35.16474999999918,3064.8947368421054,18,22,12,40
352,-23.06299999999918,3293.6315789473683,29,27,4,56
353,-33.643249999999725,1991.6666666666667,13,23,6,36
354,-44.18849999999979,1429.0,14,27,10,41
355,-29.15074999999944,2651.315789473684,20,30,3,50
356,-26.092750000000144,2167.1666666666665,20,33,8,53
357,-47.98949999999955,2053.764705882353,19,22,6,41
358,-23.042499999998213,4568.736842105263,37,35,3,72
359,-33.62874999999956,2861.7,15,27,4,42
360,-35.11349999999927,2416.25,25,25,8,50
361,-25.533999999999697,2401.777777777778,34,23,8,57
362,-36.17224999999946,3393.35,19,23,5,42
363,-38.52074999999779,4308.789473684211,38,32,9,70
364,-29.030749999998694,2358.1176470588234,27,27,5,54
365,-27.56025000000008,1429.0,14,24,12,38
366,-24.214499999999795,2001.388888888889,15,23,6,38
367,-30.461499999999557,2594.4210526315787,13,27,10,40
368,-35.52349999999886,3215.55,25,19,5,44
369,-31.088499999999517,2008.45,10,26,1,36
370,-38.35074999999923,2217.1176470588234,17,25,4,42
371,-40.57525000000008,1429.0,11,24,13,35
372,-24.480749999998874,3100.0,28,25,2,53
373,-42.77399999999953,1973.1666666666667,13,28,2,41
374,-31.87724999999957,2023.3125,26,30,7,56
375,-30.05974999999966,2459.0588235294117,18,26,4,44
376,-15.386000000000475,3251.2105263157896,39,32,8,71
377,-11.724000000000212,3019.7368421052633,39,21,10,60
378,-30.956749999999897,2838.277777777778,33,28,8,61
379,-25.190000000000342,2247.4444444444443,32,35,10,67
380,-37.55399999999917,2239.5882352941176,22,24,3,46
381,-35.04274999999876,3055.7894736842104,27,23,5,50
382,-32.26824999999948,2312.157894736842,12,28,5,40
383,-32.29324999999919,2484.6666666666665,16,26,6,42
384,-37.33799999999968,1429.0,4,29,5,33
385,-28.117249999999153,3327.9473684210525,25,23,7,48
386,-32.112499999999805,2087.4210526315787,18,25,6,43
387,-28.99324999999946,3029.7368421052633,29,28,9,57
388,-25.926999999999595,3076.0588235294117,31,27,2,58
389,-32.7379999999993,3041.0555555555557,24,26,8,50
390,-31.827249999999374,2340.8333333333335,23,23,5,46
391,-34.68124999999902,2962.4117647058824,29,25,6,54
392,-32.6107499999995,3327.4,15,37,5,52
393,-47.211749999999725,1652.1764705882354,9,30,5,39
394,-27.563249999998828,3521.95,23,32,6,55
395,-34.66649999999932,2286.15,14,21,11,35
396,-21.877499999998992,2943.4,24,26,8,50
397,-28.891249999998735,3988.55,31,29,2,60
398,-36.35024999999927,2228.1111111111113,16,23,7,39
399,-16.550749999999468,2215.294117647059,34,29,3,63
400,-27.045999999999196,2950.55,22,26,5,48
401,-32.408249999999185,2959.2,22,32,2,54
402,-32.60074999999936,3015.55,15,29,7,44
403,-47.54999999999939,3864.0,24,32,5,56
404,-31.782999999999465,2527.375,30,28,2,58
405,-36.20524999999972,2925.9,23,27,3,50
406,-36.08999999999909,2152.764705882353,20,30,2,50
407,-24.927249999999482,3561.0526315789475,25,36,2,61
408,-32.45599999999934,2087.0,14,23,4,37
409,-26.136999999999365,2726.4736842105262,23,27,4,50
410,-32.51974999999959,2004.9444444444443,14,26,6,40
411,-33.369249999999155,1755.4375,14,29,5,43
412,-43.58724999999934,2932.0,20,25,6,45
413,-14.094749999999397,3499.777777777778,30,27,5,57
414,-33.90174999999993,2359.1176470588234,19,30,6,49
415,-22.9312499999998,2675.1666666666665,18,28,4,46
416,-19.796249999999667,2760.75,18,27,2,45
417,-32.98099999999865,2991.722222222222,23,29,6,52
418,-32.120999999999654,2719.7894736842104,26,23,7,49
419,-41.81200000000011,2984.722222222222,26,38,3,64
420,-36.45074999999898,2077.0588235294117,15,31,4,46
421,-39.516249999999665,2130.1052631578946,9,29,6,38
422,-27.815249999999885,2619.5,19,26,3,45
423,-34.76574999999949,2005.235294117647,19,22,9,41
424,-33.957999999999586,2068.4444444444443,18,27,2,45
425,-30.955999999999868,2044.2,18,19,4,37
426,-28.629499999999304,2240.529411764706,23,31,5,54
427,-33.77924999999928,2294.5789473684213,20,27,3,47
428,-34.79674999999959,2652.9473684210525,24,29,4,53
429,-25.492249999998467,3157.6666666666665,29,26,3,55
430,-31.515749999999457,2079.0555555555557,14,22,6,36
431,-28.574749999999852,2147.5263157894738,21,32,9,53
432,-42.80149999999952,2378.777777777778,18,22,3,40
433,-9.02624999999941,3876.8947368421054,37,30,5,67
434,-27.31599999999883,4322.85,28,35,2,63
435,-7.190249999998892,2822.0,41,24,7,65
436,-18.236499999998912,3219.5263157894738,26,21,8,47
437,-21.27049999999945,2467.9444444444443,30,17,5,47
438,-30.236999999999107,2185.6666666666665,23,27,3,50
439,-43.69599999999948,3296.2631578947367,28,30,3,58
440,-26.025999999999982,2997.1052631578946,28,26,1,54
441,-48.8544999999999,2092.9411764705883,23,39,1,62
442,-32.93949999999894,2501.5,19,29,4,48
443,-28.236499999999715,2319.6666666666665,32,26,5,58
444,-37.51824999999966,3964.684210526316,27,43,5,70
445,-46.01150000000059,2167.1111111111113,24,34,5,58
446,-49.093750000000135,1429.0,2,24,1,26
447,-24.617249999998975,2796.8888888888887,28,35,1,63
448,-33.91074999999972,2088.722222222222,14,29,2,43
449,-31.919999999999362,2248.823529411765,25,34,2,59
450,-47.455999999998866,2711.3333333333335,27,34,6,61
451,-30.43224999999933,2499.6666666666665,20,28,5,48
452,-28.55549999999972,2320.6666666666665,19,28,0,47
453,-31.49074999999892,2896.5555555555557,27,32,6,59
454,-35.699249999999196,2548.15,19,22,4,41
455,-23.58774999999919,2713.714285714286,26,22,5,48
456,-25.22149999999903,2528.35,24,21,2,45
457,-42.92674999999899,2786.6315789473683,19,32,5,51
458,-29.41624999999984,2727.1111111111113,40,32,15,72
459,-26.153249999998838,4256.1,28,25,9,53
460,-12.27474999999934,2430.214285714286,26,27,5,53
461,-35.216249999999,2609.5789473684213,19,29,3,48
462,-30.84324999999932,2735.6315789473683,23,23,4,46
463,-35.720749999999,1749.3529411764705,7,36,4,43
464,-31.95174999999899,2280.6470588235293,23,26,3,49
465,-47.38725000000002,1866.0588235294117,10,40,1,50
466,-15.357249999998995,2566.4117647058824,25,29,2,54
467,-20.20999999999845,3741.6315789473683,31,38,9,69
