Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
157,2516.4444444444443,3,12,18,15
158,2126.529411764706,3,18,11,21
159,1660.6470588235295,2,16,13,18
160,3327.5,6,24,14,30
161,2084.470588235294,3,13,13,16
162,2156.4117647058824,2,15,19,17
163,1635.375,0,17,2,17
164,1684.0,0,14,26,14
165,1429.0,2,19,1,21
166,2198.470588235294,1,29,20,30
167,1675.0625,0,19,18,19
168,2800.3333333333335,14,19,9,33
169,1898.2222222222222,2,13,23,15
170,2414.8947368421054,2,12,19,14
171,1429.0,0,22,3,22
172,3364.0,4,23,11,27
173,1903.25,2,9,27,11
174,1930.0,2,19,27,21
175,2042.5294117647059,1,13,20,14
176,1681.1764705882354,9,13,13,22
177,1934.1764705882354,5,16,27,21
178,3237.7368421052633,8,14,20,22
179,2168.1111111111113,3,13,27,16
180,1715.578947368421,1,17,6,18
181,3432.95,6,21,11,27
182,3997.25,9,19,15,28
183,3289.5789473684213,8,20,21,28
184,1614.8235294117646,1,21,2,22
185,2229.4210526315787,1,16,14,17
186,1634.4375,1,23,8,24
187,2441.6315789473683,3,17,15,20
188,3062.3684210526317,12,11,13,23
189,1822.3333333333333,0,18,10,18
190,2809.2631578947367,10,14,11,24
191,2092.1666666666665,0,21,11,21
192,1563.4705882352941,0,20,13,20
193,3475.0526315789475,4,16,29,20
194,2564.8888888888887,4,15,19,19
195,1620.388888888889,2,19,11,21
196,3311.157894736842,16,26,16,42
197,1700.6315789473683,2,12,8,14
198,1712.1666666666667,2,19,3,21
199,2714.8333333333335,3,18,16,21
200,2006.611111111111,4,16,16,20
201,3025.6315789473683,8,19,12,27
202,2511.842105263158,5,19,12,24
203,2042.2631578947369,4,20,12,24
204,3612.8947368421054,15,26,15,41
205,2220.0,5,8,23,13
206,1429.0,1,26,3,27
207,2639.1176470588234,9,16,23,25
208,2919.5,5,17,13,22
209,1831.875,2,20,16,22
210,1727.8235294117646,2,29,4,31
211,1572.875,0,12,11,12
212,1528.25,0,20,17,20
213,1749.2941176470588,0,25,8,25
214,3237.842105263158,8,17,18,25
215,3014.684210526316,3,29,10,32
216,2325.8333333333335,0,35,8,35
217,1682.1764705882354,1,17,19,18
218,2760.8,12,16,12,28
219,1759.4375,10,28,20,38
220,1795.0588235294117,4,16,33,20
221,2208.4736842105262,1,12,16,13
222,2241.9473684210525,2,30,4,32
223,1606.4705882352941,1,15,11,16
224,1908.0,8,32,7,40
225,2408.4,8,12,12,20
226,3058.722222222222,11,14,22,25
227,2240.95,2,26,6,28
228,1528.25,5,18,9,23
229,1559.764705882353,7,19,4,26
230,2287.1052631578946,5,13,17,18
231,2758.8888888888887,6,19,16,25
232,2659.277777777778,6,18,21,24
233,2774.8947368421054,3,9,16,12
234,1627.0,4,11,5,15
235,1564.0,2,17,15,19
236,2283.7368421052633,7,25,11,32
237,2207.684210526316,5,16,7,21
238,1951.9375,5,15,33,20
239,1887.375,8,19,6,27
240,1732.5294117647059,2,6,16,8
241,1594.6875,0,26,5,26
242,1819.3529411764705,1,20,23,21
243,1790.611111111111,0,20,11,20
244,3712.4,4,31,9,35
245,1820.2941176470588,7,21,11,28
246,1623.235294117647,1,20,14,21
247,1935.1176470588234,7,20,11,27
248,2222.7368421052633,1,19,14,20
249,1697.9375,4,13,16,17
250,2974.6315789473683,5,22,14,27
251,1925.5555555555557,0,20,19,20
252,1858.5882352941176,1,14,29,15
253,1701.875,3,25,18,28
254,1732.5294117647059,0,26,6,26
255,2393.2631578947367,1,24,3,25
256,1429.0,0,19,14,19
257,1528.25,2,18,14,20
258,1656.8823529411766,3,16,13,19
259,1630.7058823529412,1,17,33,18
260,1882.388888888889,2,17,17,19
261,2196.842105263158,2,14,15,16
262,4075.05,4,28,18,32
263,1912.764705882353,2,32,12,34
264,1640.1176470588234,0,18,19,18
265,1850.611111111111,0,21,15,21
266,1727.111111111111,1,22,10,23
267,1714.75,2,18,13,20
268,2497.0,11,23,12,34
269,2080.777777777778,2,15,10,17
270,3910.315789473684,1,21,19,22
271,2131.176470588235,6,21,27,27
272,1797.0,2,28,15,30
273,2335.4210526315787,6,24,11,30
274,3275.4210526315787,13,12,17,25
275,2455.842105263158,4,13,7,17
276,2345.277777777778,7,17,11,24
277,1694.235294117647,3,19,24,22
278,2171.5555555555557,3,21,12,24
279,1804.0,10,22,18,32
280,1853.9411764705883,4,28,13,32
281,2205.0588235294117,10,17,23,27
282,2473.3684210526317,5,14,18,19
283,3483.4210526315787,12,26,12,38
284,1429.0,1,19,1,20
285,2035.1176470588234,2,20,22,22
286,2783.3684210526317,4,20,19,24
287,2064.9411764705883,2,17,20,19
288,2350.5555555555557,2,8,9,10
289,3065.722222222222,2,21,23,23
290,1715.75,4,15,14,19
291,1691.888888888889,3,21,2,24
292,1571.875,3,21,24,24
293,1720.888888888889,2,15,11,17
294,1828.7058823529412,1,18,10,19
295,2305.6666666666665,2,16,18,18
296,1685.8823529411766,1,25,12,26
297,1947.2941176470588,6,14,22,20
298,2940.6111111111113,5,20,17,25
299,2078.9444444444443,1,19,19,20
300,2190.9444444444443,4,14,20,18
301,2627.0,6,18,14,24
302,1589.75,2,21,3,23
303,1684.0625,3,12,16,15
304,2576.3888888888887,5,21,12,26
305,3641.65,5,11,23,16
306,2302.9444444444443,3,16,17,19
307,2551.3529411764707,4,18,28,22
308,1567.9375,2,22,14,24
309,1630.375,5,21,10,26
310,1541.1875,1,17,24,18
311,2482.5789473684213,6,11,18,17
312,1947.875,0,17,13,17
313,2157.4117647058824,8,17,14,25
314,2236.764705882353,1,26,17,27
315,1989.0555555555557,4,20,3,24
316,2628.3888888888887,7,12,29,19
317,1934.235294117647,2,19,12,21
318,4137.1,14,24,17,38
319,1581.235294117647,0,14,1,14
320,1731.5555555555557,1,11,10,12
321,1635.4117647058824,0,21,31,21
322,2912.7368421052633,16,23,19,39
323,1689.875,7,22,5,29
324,2865.55,6,31,6,37
325,2556.85,3,19,12,22
326,1580.875,2,14,22,16
327,2290.722222222222,8,22,21,30
328,1693.0526315789473,1,21,13,22
329,1874.3,3,12,4,15
330,2302.0526315789475,3,18,19,21
331,1429.0,0,22,2,22
332,1599.6875,2,14,13,16
333,1984.5882352941176,4,16,16,20
334,3744.777777777778,9,30,18,39
335,1652.1764705882354,6,22,3,28
336,2385.684210526316,6,16,12,22
337,2201.3,3,8,16,11
338,2264.1111111111113,8,12,18,20
339,3452.8,10,21,13,31
340,1429.0,1,22,0,23
341,1576.5882352941176,0,19,8,19
342,2067.9375,8,13,24,21
343,1813.3684210526317,2,22,6,24
344,1534.8666666666666,0,28,28,28
345,2807.5789473684213,4,17,36,21
346,2570.315789473684,4,21,8,25
347,1736.235294117647,2,6,19,8
348,2550.2631578947367,5,23,12,28
349,1885.888888888889,0,17,11,17
350,1724.75,2,11,24,13
351,1690.5294117647059,4,24,8,28
352,2486.3333333333335,6,13,22,19
353,1429.0,0,24,15,24
354,2896.0,7,18,19,25
355,2105.3888888888887,2,17,8,19
356,3226.9473684210525,11,20,16,31
357,1541.125,3,27,16,30
358,2825.8333333333335,9,18,18,27
359,2163.4210526315787,7,17,8,24
360,1429.0,1,22,2,23
361,2101.294117647059,6,37,33,43
362,1576.5882352941176,2,23,6,25
363,1635.4117647058824,1,12,13,13
364,2532.1666666666665,7,18,8,25
365,1429.0,6,19,2,25
366,2440.5,7,26,11,33
367,1429.0,0,15,3,15
368,1429.0,1,23,18,24
369,1937.8823529411766,3,16,28,19
370,3647.9473684210525,6,26,18,32
371,2766.8888888888887,3,23,16,26
372,2407.1875,3,19,25,22
373,3902.7368421052633,5,14,21,19
374,2364.0,7,18,10,25
375,2619.5263157894738,6,22,6,28
376,2848.4210526315787,1,18,17,19
377,2529.85,3,14,18,17
378,1429.0,1,13,18,14
379,1701.875,7,19,4,26
380,1572.7777777777778,1,18,12,19
381,1723.6875,5,20,22,25
382,2204.1666666666665,2,11,14,13
383,1429.0,1,26,0,27
384,1691.8333333333333,3,29,13,32
385,1953.7777777777778,4,17,13,21
386,1542.9411764705883,2,19,8,21
387,2200.9473684210525,4,1,12,5
388,2302.9473684210525,6,14,10,20
389,1802.4705882352941,4,22,8,26
390,1660.5882352941176,1,18,14,19
391,2441.3888888888887,4,21,16,25
392,1429.0,1,14,15,15
393,1724.6875,2,24,14,26
394,2456.5789473684213,7,23,30,30
395,1736.235294117647,0,17,14,17
396,2410.6315789473683,2,14,17,16
397,1635.388888888889,3,14,9,17
398,2017.3333333333333,4,16,9,20
399,1612.5625,4,19,6,23
400,2503.315789473684,2,20,12,22
401,2211.222222222222,4,21,18,25
402,2074.4,2,27,9,29
403,1786.6470588235295,3,24,40,27
404,2155.722222222222,4,14,13,18
405,1683.0,7,17,10,24
406,1753.0588235294117,4,10,27,14
407,1963.1764705882354,4,18,22,22
408,1429.0,0,17,12,17
409,1767.6666666666667,4,14,15,18
410,2079.875,6,27,14,33
411,2032.25,9,17,24,26
412,2379.0,3,12,13,15
413,1744.6666666666667,0,18,10,18
414,2025.2222222222222,1,20,13,21
415,2538.5263157894738,4,9,15,13
416,1938.8823529411766,4,16,14,20
417,2413.235294117647,2,14,25,16
418,1755.3333333333333,0,18,4,18
419,1528.25,0,25,0,25
420,2780.7894736842104,2,31,10,33
421,2121.823529411765,1,9,23,10
